Canal_1,Canal_2,Canal_3,Canal_4,Canal_5
-5.6554,0.9404,-0.4311,10.245,-1.8426
-3.8554,1.2404,1.2689,10.245,-3.2426
-7.0554,-2.9596,3.3689,9.2446,1.0574
-5.1554,-1.4596,4.0689,7.3446,2.6574
-4.0554,-2.0596,4.1689,4.9446,3.8574
-1.0554,-1.3596,4.6689,5.2446,3.1574
-0.1554,-0.2596,4.4689,3.3446,1.4574
2.0446,0.3404,5.2689,-0.3554,2.4574
2.5446,-0.0596,5.7689,0.6446,4.4574
1.7446,-3.3596,4.6689,3.0446,5.6574
2.3446,-2.5596,5.0689,3.1446,5.8574
